Number of Data Points = 768
        
File	hc(nm)	Pmax(µN)	S(µN/nm)	A(nm^2)	hmax(nm)	heff(nm)	Er(GPa)	H(GPa)	A	hf(nm)	m	X(mm)	Y(mm)	Drift(nm/s)
TiAl5Sns.5-2 0000 LC.hys	160.439194	5997.685963	78.99048	944259.168381	217.393655	217.386113	72.021801	6.351737	18.616208	121.328397	1.265095	-63.269503	-4.8165	0.465771
TiAl5Sns.5-2 0001 LC.hys	158.892668	5997.620264	80.590976	933074.496131	214.484472	214.708039	73.920192	6.427804	16.215926	118.370244	1.294506	-63.237003	-4.8165	0.146458
TiAl5Sns.5-2 0002 LC.hys	188.009106	5997.63944	83.666922	1150705.431765	241.956588	241.772642	69.104533	5.212141	11.090896	143.453153	1.371554	-63.205003	-4.8165	-0.028706
TiAl5Sns.5-2 0003 LC.hys	191.435789	5997.681451	83.621454	1177298.659644	245.025556	245.228934	68.28247	5.094443	22.652511	156.110445	1.242516	-63.172503	-4.8165	-0.060105
TiAl5Sns.5-2 0004 LC.hys	190.720427	5997.636203	83.606558	1171729.94441	244.594524	244.522751	68.432343	5.118616	27.563988	157.962906	1.206637	-63.141003	-4.8165	-0.121715
TiAl5Sns.5-2 0005 LC.hys	163.431957	5997.669402	81.00469	966022.629295	218.790698	218.962717	73.021599	6.208622	25.456957	129.064675	1.214165	-63.109503	-4.8165	-0.1705
TiAl5Sns.5-2 0006 LC.hys	191.31343	5997.664226	85.848026	1176345.521962	243.837873	243.711235	70.129007	5.098557	27.467784	158.955934	1.213151	-63.077003	-4.8165	-0.15877
TiAl5Sns.5-2 0007 LC.hys	191.498115	5997.655037	87.095079	1177784.263772	243.389903	243.145594	71.104252	5.092321	27.21516	159.264744	1.218078	-63.045503	-4.8165	-0.195574
TiAl5Sns.5-2 0008 LC.hys	195.737695	5997.618919	88.883275	1210976.537227	246.446973	246.345801	71.562748	4.952713	23.371694	161.950286	1.250721	-63.013003	-4.8165	-0.189194
TiAl5Sns.5-2 0009 LC.hys	155.890319	5997.627088	81.429602	911481.170512	210.520372	211.130922	75.568933	6.580089	15.718316	115.194848	1.302521	-62.981003	-4.8165	-0.157692
TiAl5Sns.5-2 0010 LC.hys	156.294306	5997.643649	83.342808	914377.479509	210.278551	210.266962	77.221849	6.559264	18.208058	118.052105	1.281411	-62.949503	-4.8165	-0.189626
TiAl5Sns.5-2 0011 LC.hys	171.708774	5997.661257	88.529467	1027031.880307	222.863412	222.519493	77.398174	5.8398	18.704363	135.081573	1.290642	-62.917003	-4.8165	-0.151716
TiAl5Sns.5-2 0012 LC.hys	187.452301	5997.688776	88.533762	1146403.773076	238.427425	238.260789	73.261354	5.231742	24.231672	154.042839	1.243168	-62.885003	-4.8165	-0.148125
TiAl5Sns.5-2 0013 LC.hys	156.2073	5997.625832	87.073499	913753.461167	207.946438	207.867328	80.70609	6.563724	14.867069	116.361316	1.328484	-62.853503	-4.8165	-0.122514
