nanoDMA Text Export Version 1.00

 Test Time (s)	 Indent Disp. (nm)	 Indent Act. Load (µN)	 Indent Load (µN)	 Indent Disp. Volt. (V)	 Indent Act. Load Volt. (V)	 Indent Act. Output Volt. (V)	 Dynamic Freq. (Hz)	 Disp. Amp. (nm)	 Phase Shift (deg)	 Load Amp. (µN)	 Dynamic Comp. (nm/µN)	 Disp. Amp. Volt. (V)	 Load Amp. Volt. (V)	 Storage Mod. (GPa)	 Loss Mod. (GPa)	 Hardness (GPa)	 Complex Mod. (GPa)	 Tan-Delta	 Storage Stiff. (µN/nm)	 Loss Stiff. (µN/nm)	 Complex Stiff. (µN/nm)	 Damping (kg/s)	 Contact Area (nm^2)	 Contact Depth (nm)	
5.018394	0.719472	126.857237	9.36416	0.000803	0.611421	0.579294	205.0	0.65182	-2.459251	4.96732	0.131222	8.000877e-005	0.008936	683.616655	15.696688	127.487053	683.796839	0.022961	8.178623	0.187791	8.180778	0.000146	112.415181	0.05706	
5.02839	0.659753	126.821949	9.351015	0.000813	0.611336	0.579294	205.0	0.651595	-2.399428	4.967312	0.131177	7.998106e-005	0.008936	0.0	0.0	0.0	0.0	0.021995	8.181644	0.179952	8.183623	0.00014	0.0	-0.001194	
5.038387	0.702854	126.782796	9.295973	0.000806	0.611241	0.579294	205.0	0.650321	-2.39404	4.967318	0.13092	7.98247e-005	0.008936	746.120182	16.37165	150.469097	746.299777	0.021942	8.196908	0.17986	8.198881	0.00014	94.792159	0.048114	
5.048384	0.737947	126.743751	9.244001	0.0008	0.611147	0.579294	205.0	0.650229	-2.253694	4.967323	0.130901	7.981349e-005	0.008936	551.318808	10.840225	81.818486	551.42537	0.019662	8.198783	0.161207	8.200368	0.000125	173.693306	0.088168	
5.058381	0.736323	126.712571	9.213472	0.0008	0.611072	0.579294	205.0	0.650822	-2.244773	4.967322	0.131021	7.988618e-005	0.008936	548.839393	10.702877	81.049216	548.943741	0.019501	8.191741	0.159747	8.193298	0.000124	174.965224	0.088813	
5.068378	0.791024	126.683843	9.16456	0.000791	0.611002	0.579294	205.0	0.650013	-2.12532	4.96733	0.130858	7.978695e-005	0.008936	424.556665	7.463999	48.209948	424.622271	0.017581	8.202052	0.144198	8.203319	0.000112	293.13223	0.14881	
5.078374	0.820251	126.662497	9.132449	0.000786	0.61095	0.579294	205.0	0.649987	-2.035363	4.967334	0.130852	7.978371e-005	0.008936	384.931766	6.204588	39.533375	384.981767	0.016119	8.202818	0.132219	8.203884	0.000103	356.655174	0.181067	
5.088371	0.743468	126.655668	9.154062	0.000799	0.610935	0.579294	205.0	0.64977	-1.980713	4.967323	0.130809	7.975705e-005	0.008936	511.659635	7.795682	69.907196	511.719019	0.015236	8.205668	0.125022	8.20662	9.706288e-005	202.001883	0.102539	
5.098368	0.664989	126.658794	9.186254	0.000813	0.610943	0.579294	205.0	0.650192	-2.004069	4.967312	0.130894	7.980895e-005	0.008936	1137.380112	17.748038	346.664865	1137.518577	0.015604	8.20047	0.127963	8.201468	9.934584e-005	40.827807	0.020722	
5.108365	0.573172	126.675464	9.236918	0.000829	0.610984	0.579294	205.0	0.649992	-1.944882	4.9673	0.130854	7.978435e-005	0.008936	0.0	0.0	0.0	0.0	0.014648	8.20313	0.120155	8.20401	9.328452e-005	0.0	-0.075506	
5.118362	0.681071	126.699883	9.22145	0.00081	0.611042	0.579294	205.0	0.650208	-1.999573	4.967315	0.130897	7.981091e-005	0.008936	893.537473	13.877317	214.496575	893.645229	0.015531	8.200304	0.127357	8.201293	9.887556e-005	66.149145	0.033575	
5.128358	0.721994	126.730632	9.237085	0.000803	0.611116	0.579294	205.0	0.650655	-1.807769	4.96732	0.130987	7.986579e-005	0.008936	606.47985	7.52056	99.033103	606.526477	0.0124	8.195827	0.101631	8.196457	7.890287e-005	143.430881	0.072804	
